编号,葡萄酒英文名,葡萄酒中文名,官方网站,类型(Red Wine红葡萄酒/White Wine白葡萄酒/Rose Wine粉红葡萄酒/Sparking Wine起泡酒/Port Wine波特酒/Sherry Wine雪利酒/Fortified Wine加强酒/Sweet Wine甜酒/Others其它),产区（France/Bordeaux/Haut-Médoc/Margaux）,产区（法国/波尔多/上梅多克/玛歌）,酒庄英文名,酒庄中文名,年份,适饮年份（2001-2002）,酒精度,葡萄品种／含量,容量,评分
533,Château Dauzac,杜扎克酒庄/杜萨,www.chateaudauzac.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Margaux,法国/波尔多/上梅多克/玛歌,Château Dauzac,杜扎克酒庄/杜萨,2000,2007-2012,12.9,,750,
534,Château Dauzac,杜扎克酒庄/杜萨,www.chateaudauzac.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Margaux,法国/波尔多/上梅多克/玛歌,Château Dauzac,杜扎克酒庄/杜萨,1999,2005-2012,13,,750,
535,Château Dauzac,杜扎克酒庄/杜萨,www.chateaudauzac.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Margaux,法国/波尔多/上梅多克/玛歌,Château Dauzac,杜扎克酒庄/杜萨,1998,2005-2011,13,,750,
536,Château Dauzac,杜扎克酒庄/杜萨,www.chateaudauzac.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Margaux,法国/波尔多/上梅多克/玛歌,Château Dauzac,杜扎克酒庄/杜萨,1997,2001-2007,,,750,
537,Château Dauzac,杜扎克酒庄/杜萨,www.chateaudauzac.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Margaux,法国/波尔多/上梅多克/玛歌,Château Dauzac,杜扎克酒庄/杜萨,1996,2006-2016,12.8,,750,
538,Château Dauzac,杜扎克酒庄/杜萨,www.chateaudauzac.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Margaux,法国/波尔多/上梅多克/玛歌,Château Dauzac,杜扎克酒庄/杜萨,1995,2001-2010,12.75,,750,
539,Château Dauzac,杜扎克酒庄/杜萨,www.chateaudauzac.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Margaux,法国/波尔多/上梅多克/玛歌,Château Dauzac,杜扎克酒庄/杜萨,1994,2004-2014,12.95,,750,
540,Château Dauzac,杜扎克酒庄/杜萨,www.chateaudauzac.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Margaux,法国/波尔多/上梅多克/玛歌,Château Dauzac,杜扎克酒庄/杜萨,1993,,12.75,,750,
541,Château Dauzac,杜扎克酒庄/杜萨,www.chateaudauzac.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Margaux,法国/波尔多/上梅多克/玛歌,Château Dauzac,杜扎克酒庄/杜萨,1992,,12.75,,750,
542,Bass Phillip Reserve Pinot Noir South Gippsland Victoria,,http://www.bassphillip.com/test/index.html,红葡萄酒,Australia/Victoria /Gippsland,澳大利亚/维多利亚/Gippsland,Bass Phillip,,2008,,,Pinot Noir 100%,750,
543,Brokenwood Wines Graveyard Vineyard Shiraz Hunter Valley New South Wales ,,http://www.brokenwood.com.au/,红葡萄酒,Australia/New South Wales/Hunter Valley,澳大利亚/新南威尔士/猎人谷,Brokenwood Wines,,2008,,,,750,
544,Chris Ringland Shiraz Barossa South Australia,,http://www.chrisringland.com/,红葡萄酒,Australia/South Australia/Barossa Valley,澳大利亚/南澳/Barossa Valley,Chris Ringland,,2008,,,,750,
545,Clarendon Hills Astralis Syrah Mclaren Vale South Australia,,http://www.clarendonhills.com.au,红葡萄酒,Australia/South Australia/McLaren Vale,澳大利亚/南澳/McLaren Vale,Clarendon Hills,,2006,,,,750,
546,Clonakilla Shiraz Viognier Canberra District New South Wales,,http://www.clonakilla.com.au/,红葡萄酒,Australia/New South Wales/Canberra District,澳大利亚/新南威尔士/堪培拉,Clonakilla,,2010,,,"Shiraz/95%
Viognier/5%",750,
547,Giaconda Chardonnay Beechworth Victoria,,http://www.giaconda.com.au,白葡萄酒,Australia/Victoria/Beechworth,澳大利亚/维多利亚/Beechworth,Giaconda,,,,,,,
548,Grosset Polish Hill Riesling Clare Valley South Australia,,,,,,,,,,,,,
549,Henschke Hill Of Grace Shiraz Eden Valley South Australia ,,,,,,,,,,,,,
550,Leeuwin Estate Art Series Chardonnay Margaret River Western Australia,,,,,,,,,,,,,
551,Moss Wood Cabernet Sauvignon Margaret River Western Australia,,,,,,,,,,,,,
552,Mount Mary Quintet Cabernet Blend Yarra Valley Victoria ,,,,,,,,,,,,,
553,Penfolds Bin 707 Cabernet Sauvignon South Australia,,,,,,,,,,,,,
554,Rockford Basket Press Shiraz Barossa Valley South Australia,,,,,,,,,,,,,
