Cabernet Severny,Red,
Caddiu,Red,
Cagnulari,Red,
Caiño Tinto,Red,
Caladoc,Red,
Calitor,Red,
Callet,Red,
Caloria,Red,
Canina nera,Red,
Caricagiola,Red,
Carmine,Red,
Carnelian,Red,
Castelão,Red,
Periquita,,
Castets,Red,
Castiglione,Red,
Catanese,Red,
Centurian,Red,
Cesanese,Red,
Cesar,Red,
Charbono,Red,
Cienna,Red,
Ciliegiolo,Red,
Complexa,Red,
Cornalin,Red,
Cornifesto,Red,
Counoise,Red,
Croatina,Red,
Darkenuša,Red,
Dobričić,Red,
Domina,Red,
Dunkelfelder,Red,
Duras,Red,
Durif,Red,
Petite Sirah,Red,
Espadeiro,Red,
Étraire,Red,
Fer,Red,
Ferrón,Red,
Fetească Neagră,Red,
Forcayat,Red,
Forcallat,Red,
Fortana,Red,
Frappato,Red,
Freisa,Red,
Frühroter Veltliner,Red,
Fumin,Red,
Gamashara,Red,
Gamaret,Red,
Garanoir,Red,
Garrut,Red,
Girò,Red,
Grand Noir de la Calmette,Red,
Gran Negro,Red,
Grão Negro,Red,
Greco Nero,Red,
Grignolino,Red,
Gropello,Red,
Grolleau,Red,
Groslot,Red,
Gros Verdot,Red,
Guarnaccia,Red,
Helfensteiner,Red,
Heroldrebe,Red,
Hondarrabi Beltza,Red,
Humagne Rouge,Red,
Jaén,Red,
Joubertin,Red,
Jaubertin,Red,
Juan Garcia,Red,
Juan Ibáñez,Red,
Miguel del Arco,Red,
Jurancon noir,Red,
Kadarka,Red,
Kalecik Karasi,Red,
Kékoporto,Red,
Kékoportó,Red,
Kotsifali,Red,
Kratosija,Red,
Lacrima di Morro,Red,
Lacrima Nera,Red,
Lagrein,Red,
Lambrusco,Red,
Liatiko,Red,
Limnio,Red,
Listan Negro,Red,
Lladoner Pelut,Red,
Lledoner Pelut,Red,
Madrasa,Red,
Magaratch Bastardo,Red,
Magaratch Ruby,Red,
Magarach Ruby,Red,
Magliocco,Red,
Magliocco Canino,Red,
Maiolica,Red,
Malbec,Red,马尔贝克
Auxerrois,Red,
Cot,Red,
Malvasia di Schierano,Red,
Malvasia Nera,Red,
Mammolo,Red,
Mandelaria,Red,
Mandelari,Red,
Mandolari,Red,
Mantonegro,Red,
Mara,Red,
Maratheftiko,Red,
Marselan,Red,
Marsigliana,Red,
Marzemino,Red,
Matrassa,Red,
Mavro,Red,
Mavrodafni,Red,
Mavrodaphne,Red,
Mavrud,Red,
Mavroudi,Red,
Mayorquin,Red,
Melnik,Red,
Mencia,Red,
Jaen,Red,
Merenzao,Red,
Merille,Red,
Milgranet,Red,
Millot,Red,
Mission,Red,
Molinara,Red,
Mondeuse,Red,
Monica,Red,
Montepulciano,Red,
Montù,Red,
Montuni,Red,
Moravia,Red,
Moreto,Red,
Moristel,Red,
Mourisco Tinto,Red,
Mouyssaguès,Red,
Mujuretuli,Red,
Muscardin,Red,
Muscat Hamburg,Red,
Negoska,Red,
Négrette,Red,
Negru de Dragasani,Red,
Nero Buono di Coro,Red,
Nerello Cappuccio,Red,
Nerello Mascalese,Red,
Neretto di Bairo,Red,
Neyret,Red,
Nielluccio,Red,
Nincusa,Red,
Nocera,Red,
Notardomenico,Red,
Ojaleshi,Red,
Öküzgözü,Red,
Olivella nera,Red,
Oseleta,Red,
Pamid,Red,
Parana,Red,
Pascale di Cagliari,Red,
Pelaverga,Red,
Peloursin,Red,
Perdal,Red,
Perricone,Red,
Persan,Red,
Petit Rouge,Red,
Piedirosso,Red,
Pignerol,Red,
